Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
node:X:child:Number=Sing,node:X:parent:position=after	     29	        7	 yes     	  0.154	 63.636	  24.14	   0.71
node:X:child:upos=ADV,node:X:child:Definite=Def   	     85	        1	 no      	 -0.100	 32.432	  98.82	   0.17
node:CLH:own:Number=Sing,node:X:own:rel_shallow=advcl	     28	        2	 yes     	  0.024	 18.182	   7.14	   0.14
node:X:child:Voice=Act,node:X:child:upos=SCONJ    	    101	        0	 no      	 -0.027	 38.996	 100.00	   0.29
node:X:child:Number=Sing,node:X:child:Case=Nom    	    210	       10	 yes     	  0.016	 90.909	   4.76	   0.03
node:CLH:own:Tense=Pres,node:X:child:Gender=Com   	     37	        6	 yes     	  0.094	 54.545	  16.22	   0.47
node:X:child:Gender=Com,node:X:parent:position=after	     28	        6	 yes     	  0.008	 54.545	  21.43	   0.63
node:X:own:VerbForm=Fin,node:CLH:own:Number=Sing  	     18	        2	 yes     	  0.055	 18.182	  11.11	   0.30
node:X:child:rel_shallow=mark,node:CLH:own:Tense=Past	     69	        0	 no      	 -0.005	 26.641	 100.00	   0.29
node:X:child:rel_shallow=obj,node:X:child:Gender=Com	    103	        5	 yes     	  0.089	 45.455	   4.85	   0.04
node:X:child:Gender=Neut,node:X:child:PronType=Prs	     56	        4	 yes     	  0.012	 36.364	   7.14	   0.14
node:CLH:own:Voice=Act,node:X:child:upos=ADV      	     78	        2	 no      	 -0.115	 29.344	  97.44	   0.08
node:X:own:Voice=Act,node:CLH:own:Number=Sing     	     39	        2	 yes     	  0.330	 18.182	   5.13	   0.05
node:X:child:rel_shallow=mark,node:X:parent:position=after	     22	        0	 no      	 -0.438	  8.494	 100.00	   0.29
