Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:own:Voice=Act                              	     78	        3	 no      	 -0.001	 85.227	  96.15	   0.15
node:X:child:upos=ADV                             	     32	        5	 yes     	  0.067	 71.429	  15.62	   0.28
node:X:child:rel_shallow=obl                      	     31	        4	 yes     	  0.020	 57.143	  12.90	   0.19
node:X:child:Case=Acc                             	     10	        2	 yes     	  0.042	 28.571	  20.00	   0.41
node:X:child:rel_shallow=obj                      	     43	        1	 no      	 -0.027	 47.727	  97.67	   0.22
node:CLH:own:Definite=Ind                         	     16	        0	 no      	 -0.087	 18.182	 100.00	   0.39
node:X:child:rel_shallow=conj                     	     10	        2	 yes     	  0.025	 28.571	  20.00	   0.41
node:X:child:Degree=Pos                           	     16	        0	 no      	 -0.034	 18.182	 100.00	   0.39
node:X:child:rel_shallow=mark                     	     86	        5	 no      	 -0.171	 92.045	  94.19	   0.06
node:X:child:Number=Plur                          	     19	        0	 no      	 -0.064	 21.591	 100.00	   0.39
node:X:child:rel_shallow=advcl                    	     21	        1	 no      	 -0.019	 22.727	  95.24	   0.11
node:X:child:upos=NOUN                            	     55	        5	 yes     	  0.157	 71.429	   9.09	   0.06
node:CLH:own:Voice=Act                            	     68	        6	 yes     	  0.098	 85.714	   8.82	   0.05
node:X:child:Degree=Sup                           	      1	        1	 yes     	  0.353	 14.286	 100.00	   2.28
node:X:own:Tense=Pres                             	     39	        3	 yes     	 -0.058	 42.857	   7.69	   0.01
node:X:child:rel_shallow=dislocated               	      1	        1	 yes     	  0.176	 14.286	 100.00	   2.28
node:X:child:upos=ADP                             	      9	        0	 no      	 -0.075	 10.227	 100.00	   0.39
node:X:own:rel_shallow=advcl                      	     52	        4	 yes     	 -0.001	 57.143	   7.69	   0.01
node:Y:own:has_child=No                           	     94	        6	 no      	 -0.410	 100.000	  93.62	   0.04
node:X:own:Tense=Past                             	     56	        4	 no      	  0.070	 59.091	  92.86	   0.01
node:X:child:upos=PROPN                           	      7	        1	 yes     	  0.282	 14.286	  14.29	   0.24
node:CLH:own:Degree=Pos                           	      9	        0	 no      	 -0.053	 10.227	 100.00	   0.39
node:X:child:Gender=Com                           	     89	        7	 yes     	  0.150	 100.000	   7.87	   0.02
node:X:child:rel_shallow=compound:prt             	      7	        0	 no      	 -0.388	  7.955	 100.00	   0.39
node:X:child:rel_shallow=punct                    	     17	        1	 no      	  0.287	 18.182	  94.12	   0.06
node:CLH:own:Mood=Ind                             	     36	        3	 yes     	  0.082	 42.857	   8.33	   0.04
node:X:own:rel_shallow=csubj                      	      5	        1	 yes     	  0.287	 14.286	  20.00	   0.41
node:X:child:Definite=Def                         	     80	        6	 yes     	  0.024	 85.714	   7.50	   0.01
node:X:child:Abbr=Yes                             	      1	        1	 yes     	  0.404	 14.286	 100.00	   2.28
node:X:child:upos=PUNCT                           	     17	        1	 no      	  0.860	 18.182	  94.12	   0.06
node:X:child:VerbForm=Inf                         	     19	        1	 no      	 -0.112	 20.455	  94.74	   0.08
node:X:parent:position=after                      	     14	        2	 yes     	  0.285	 28.571	  14.29	   0.24
node:Y:child:upos=ADV                             	      1	        1	 yes     	  0.238	 14.286	 100.00	   2.28
node:Y:child:rel_shallow=advmod                   	      1	        1	 yes     	  0.310	 14.286	 100.00	   2.28
node:X:parent:position=before                     	     81	        5	 no      	 -0.837	 86.364	  93.83	   0.05
node:CLH:own:VerbForm=Fin                         	     38	        3	 yes     	  0.101	 42.857	   7.89	   0.02
node:X:child:PronType=Prs                         	     67	        4	 no      	 -0.264	 71.591	  94.03	   0.06
