Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:child:upos=SCONJ                           	     83	        2	 no      	 -0.038	 86.170	  97.59	   0.29
node:X:parent:position=before                     	     88	        3	 no      	 -0.039	 90.426	  96.59	   0.24
node:X:parent:position=after                      	     16	        7	 yes     	  0.062	 70.000	  43.75	   0.89
node:X:child:rel_shallow=punct                    	     20	        6	 yes     	  0.030	 60.000	  30.00	   0.57
node:X:child:rel_shallow=mark                     	     88	        3	 no      	 -0.021	 90.426	  96.59	   0.24
node:X:child:upos=PUNCT                           	     20	        6	 yes     	  0.268	 60.000	  30.00	   0.57
node:X:own:Tense=Pres                             	     55	        9	 yes     	  0.017	 90.000	  16.36	   0.21
node:X:child:upos=ADV                             	     53	        3	 no      	 -0.031	 53.191	  94.34	   0.14
node:X:child:Definite=Def                         	     77	        6	 no      	 -0.030	 75.532	  92.21	   0.06
node:CLH:own:Number=Sing                          	     18	        2	 yes     	  0.203	 20.000	  11.11	   0.05
node:X:child:Definite=Ind                         	     60	        3	 no      	 -0.032	 60.638	  95.00	   0.17
node:X:child:Degree=Pos                           	     20	        0	 no      	 -0.010	 21.277	 100.00	   0.45
node:X:child:Gender=Neut                          	     34	        4	 yes     	  0.050	 40.000	  11.76	   0.07
node:X:child:rel_shallow=nsubj                    	     94	        7	 no      	 -0.025	 92.553	  92.55	   0.08
node:CLH:own:Tense=Pres                           	     27	        6	 yes     	  0.001	 60.000	  22.22	   0.37
node:CLH:own:VerbForm=Inf                         	     15	        0	 no      	 -0.124	 15.957	 100.00	   0.45
node:X:child:upos=PROPN                           	     10	        2	 yes     	  0.065	 20.000	  20.00	   0.31
node:CLH:own:Definite=Ind                         	     19	        2	 yes     	  0.008	 20.000	  10.53	   0.03
node:X:child:rel_shallow=compound:prt             	     16	        0	 no      	 -0.173	 17.021	 100.00	   0.45
node:X:child:PronType=Prs                         	     70	        7	 yes     	  0.236	 70.000	  10.00	   0.01
node:X:child:Number=Plur                          	     22	        2	 no      	  0.123	 21.277	  90.91	   0.02
node:X:child:Number=Sing                          	     94	        9	 no      	  0.193	 90.426	  90.43	   0.00
node:X:child:upos=NOUN                            	     58	        5	 no      	  0.264	 56.383	  91.38	   0.03
node:X:child:Gender=Com                           	     87	        7	 no      	 -0.001	 85.106	  91.95	   0.05
node:X:child:PronType=Ind                         	      8	        0	 no      	 -0.011	  8.511	 100.00	   0.45
node:X:child:upos=ADP                             	     20	        1	 no      	  0.047	 20.213	  95.00	   0.17
