Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:own:Tense=Pres                             	     28	        9	 yes     	  0.013	 81.818	  32.14	   0.36
node:X:child:Gender=Neut                          	     22	        8	 yes     	  0.029	 72.727	  36.36	   0.46
node:X:child:rel_shallow=mark                     	     54	        6	 no      	 -0.004	 90.566	  88.89	   0.17
node:X:child:rel_shallow=xcomp                    	     12	        5	 yes     	  0.009	 45.455	  41.67	   0.57
node:CLH:own:Tense=Pres                           	     18	        6	 yes     	  0.020	 54.545	  33.33	   0.39
node:X:child:Mood=Ind                             	     12	        4	 yes     	  0.024	 36.364	  33.33	   0.39
node:X:child:upos=ADV                             	     22	        2	 no      	 -0.008	 37.736	  90.91	   0.23
node:X:child:rel_shallow=punct                    	      5	        3	 yes     	  0.049	 27.273	  60.00	   0.96
node:X:child:Voice=Act                            	     34	        7	 yes     	  0.003	 63.636	  20.59	   0.09
node:X:child:PronType=Prs                         	     50	        7	 no      	 -0.010	 81.132	  86.00	   0.09
node:X:child:Number=Sing                          	     58	       11	 yes     	  0.065	 100.000	  18.97	   0.05
node:X:child:upos=NUM                             	      1	        1	 yes     	  0.234	  9.091	 100.00	   1.88
node:X:child:NumType=Card                         	      1	        1	 yes     	  0.033	  9.091	 100.00	   1.88
node:X:child:rel_shallow=advcl                    	     12	        2	 no      	  0.150	 18.868	  83.33	   0.01
node:X:child:rel_shallow=obj                      	     45	        9	 yes     	  0.008	 81.818	  20.00	   0.07
node:X:child:Tense=Past                           	      8	        2	 yes     	  0.046	 18.182	  25.00	   0.20
node:X:child:rel_shallow=conj                     	     12	        1	 no      	 -0.019	 20.755	  91.67	   0.26
node:X:child:rel_shallow=nummod                   	      1	        1	 yes     	  0.001	  9.091	 100.00	   1.88
node:X:own:rel_shallow=advcl                      	     35	        7	 yes     	  0.017	 63.636	  20.00	   0.07
node:CLH:own:Gender=Com                           	      7	        0	 no      	 -0.094	 13.208	 100.00	   0.61
node:CLH:own:VerbForm=Sup                         	      2	        1	 yes     	  0.020	  9.091	  50.00	   0.75
node:X:child:rel_shallow=nsubj                    	     60	       10	 no      	  0.204	 94.340	  83.33	   0.01
node:X:child:Definite=Ind                         	     42	        9	 yes     	 -0.298	 81.818	  21.43	   0.11
node:X:own:Tense=Past                             	     35	        2	 no      	 -0.580	 62.264	  94.29	   0.34
node:CLH:own:VerbForm=Inf                         	     12	        2	 no      	 -0.082	 18.868	  83.33	   0.01
node:X:child:VerbForm=Fin                         	     13	        4	 yes     	  1.028	 36.364	  30.77	   0.33
node:X:child:upos=PROPN                           	      8	        0	 no      	 -0.085	 15.094	 100.00	   0.61
