gold\system	_	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	punct	root	vocative	xcomp
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
acl	0	84	13	2	2	0	0	0	0	2	0	8	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2
advcl	0	4	72	4	0	0	0	2	0	0	0	11	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
advmod	0	0	4	311	0	0	0	8	0	0	2	9	0	0	0	2	0	0	0	0	0	0	7	2	9	0	2	2	0	1	0	0	0	0
amod	0	2	2	6	250	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	2	0	0	2	0	0	0	2	0	0
appos	0	0	0	0	0	15	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	2	0	0	0	0	0	2
aux	0	0	0	0	0	0	71	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	8	0	0
case	0	0	0	7	0	0	0	365	2	0	2	0	0	0	5	0	0	0	0	0	0	0	13	2	4	0	4	2	0	0	0	0	0	0
cc	0	0	0	2	2	0	0	4	174	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ccomp	0	4	6	4	0	0	0	0	0	26	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
compound	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
conj	0	8	4	0	4	0	0	2	0	2	0	146	0	0	0	0	0	0	0	2	0	0	0	2	4	0	6	0	4	8	0	4	0	2
cop	0	2	4	0	0	0	0	0	0	0	0	2	39	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2
csubj	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
det	0	0	0	0	0	0	0	0	6	0	0	3	0	0	252	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
discourse	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
dislocated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
expl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
fixed	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
flat	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0
goeswith	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
iobj	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	2	0	0	2	0	0	0	0	4	0	0
mark	0	2	0	17	0	0	5	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	180	2	2	0	0	4	0	2	0	0	0	0
nmod	0	0	0	0	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	6	0	0	0	213	2	0	5	8	0	0	0	0	0	0
nsubj	0	0	0	0	0	2	7	3	0	0	0	8	0	0	2	0	2	2	0	2	0	5	2	7	398	0	7	7	0	0	0	0	0	0
nummod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
obj	0	5	0	9	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	2	0	14	0	0	24	0	169	2	0	4	0	2	0	2
obl	0	2	0	0	9	2	0	5	0	0	2	10	0	0	2	0	0	0	0	4	0	2	2	26	8	0	11	234	0	0	0	2	0	2
orphan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0
parataxis	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	4	0	0
punct	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630	0	0	0
root	5	2	2	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	118	0	4
vocative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0
xcomp	0	0	16	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	13	2	0	0	0	4	0	41
