gold\system	_	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	punct	root	vocative	xcomp
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
acl	0	182	22	5	4	1	0	0	0	5	0	14	0	5	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	3	0	0	0	5
advcl	0	15	126	6	0	0	0	3	0	0	0	19	0	0	0	0	6	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0
advmod	0	0	9	636	0	0	0	16	0	0	3	12	0	0	0	4	0	0	0	0	0	0	9	6	13	0	3	5	0	3	0	0	0	0
amod	0	3	4	12	523	5	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	11	3	0	3	5	0	0	0	4	0	0
appos	0	0	0	0	0	30	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	9	3	0	0	0	0	0	3
aux	0	0	0	0	0	0	161	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	2	4	8	0	0	0	0	0	0	19	0	0
case	0	0	0	9	0	0	0	877	3	0	5	0	0	0	12	0	0	0	0	0	0	0	33	3	6	0	8	3	0	0	0	0	0	0
cc	3	0	0	6	3	0	0	6	360	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ccomp	0	7	15	6	0	0	0	0	0	46	0	13	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
compound	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
conj	0	12	8	0	9	3	0	8	0	3	0	307	0	0	0	0	0	0	3	4	0	0	0	3	10	3	11	0	6	13	0	6	0	3
cop	0	5	9	0	0	0	0	0	0	0	0	5	70	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	3	0	5
csubj	0	0	3	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
det	0	0	0	0	0	0	0	3	10	0	0	6	0	0	525	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0
discourse	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
dislocated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
expl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
fixed	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
flat	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	3	0	0	0	0	0	0	0
goeswith	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
iobj	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	15	0	3	0	0	5	0	0	0	0	7	0	0
mark	0	3	0	30	0	0	6	4	6	0	0	0	0	0	4	3	0	0	0	0	0	0	343	4	3	0	0	7	0	5	0	0	0	0
nmod	0	0	0	0	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	13	0	0	0	516	3	0	6	21	0	0	0	0	0	0
nsubj	0	0	0	0	0	4	9	6	0	0	0	16	0	0	6	0	6	6	0	3	0	6	6	19	770	0	16	9	0	0	0	0	0	0
nummod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0
obj	0	6	0	14	0	3	0	0	1	0	3	5	0	0	3	0	0	3	0	3	0	24	0	0	37	0	371	4	0	6	0	7	0	6
obl	0	3	6	3	13	3	0	6	0	0	5	24	0	0	6	0	0	0	0	8	0	3	3	48	27	0	20	533	0	0	0	5	0	6
orphan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0
parataxis	0	0	6	0	0	0	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	29	0	7	0	0
punct	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1201	0	0	0
root	6	3	3	0	0	0	0	0	0	0	0	21	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	236	0	12
vocative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	3	0	0	0	0	0	0
xcomp	0	6	35	0	0	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	22	4	0	0	0	8	0	96
