gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	160	1	2	0	0	0	0	3	0	0	0	0	0	0	2	0
ADP	0	176	2	0	0	4	0	0	0	0	0	0	0	0	0	0
ADV	2	4	142	0	0	0	1	6	0	2	0	0	0	0	0	0
AUX	0	0	0	52	0	0	0	3	0	0	2	0	0	0	10	0
CCONJ	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0
DET	0	0	0	0	2	110	0	2	0	0	0	0	0	0	0	0
INTJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOUN	1	4	0	0	0	0	0	318	0	0	2	8	0	0	1	0
NUM	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PART	0	0	0	0	0	0	0	0	0	38	0	0	1	0	0	0
PRON	2	0	2	2	1	0	0	0	0	0	208	3	0	0	2	0
PROPN	0	0	0	0	0	0	0	2	0	0	0	55	0	0	2	0
PUNCT	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0
SCONJ	0	4	2	2	0	2	0	1	0	0	1	0	0	46	0	0
VERB	3	0	2	2	0	0	0	8	0	0	0	0	0	0	187	0
X	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
