gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	360	2	6	0	0	0	0	17	0	0	0	0	0	0	4	0
ADP	0	393	7	0	0	5	0	0	0	0	4	6	0	6	0	0
ADV	5	11	324	0	0	0	4	17	0	7	0	0	0	2	1	0
AUX	0	0	0	110	0	0	0	6	0	0	2	0	0	0	24	0
CCONJ	0	2	2	0	187	0	0	2	0	0	0	0	0	0	0	0
DET	0	0	0	0	6	254	0	3	0	0	2	0	0	0	0	0
INTJ	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0
NOUN	2	8	0	2	0	0	0	724	0	0	4	14	0	0	2	0
NUM	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
PART	0	0	0	0	0	0	4	0	0	77	0	0	2	0	2	0
PRON	5	0	5	5	2	2	0	2	0	0	533	18	0	4	5	0
PROPN	0	0	0	0	0	0	0	3	0	0	0	140	0	0	2	0
PUNCT	0	0	0	0	0	0	0	0	0	0	0	0	634	0	0	0
SCONJ	0	10	4	5	0	2	2	2	0	0	4	0	2	117	0	0
VERB	7	2	4	2	0	0	0	20	0	0	0	2	0	0	464	0
X	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
