gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	217	1	4	0	0	0	0	12	0	0	0	0	0	0	3	0
ADP	0	283	7	0	0	0	0	0	0	0	3	3	0	3	0	0
ADV	2	1	186	0	0	0	2	7	0	2	0	0	0	1	1	0
AUX	1	0	0	65	0	0	0	5	0	0	0	0	0	0	18	0
CCONJ	0	0	2	0	111	0	0	1	0	0	0	1	0	1	0	0
DET	0	0	0	0	2	139	0	0	0	0	3	0	0	0	0	0
INTJ	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0
NOUN	2	0	1	1	0	0	0	483	0	0	1	9	0	0	2	0
NUM	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
PART	0	0	0	0	0	0	2	0	0	50	0	0	1	1	1	0
PRON	2	0	1	0	2	2	0	4	0	0	287	9	0	4	1	0
PROPN	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0
PUNCT	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0
SCONJ	0	1	2	0	0	0	1	1	0	1	2	0	1	50	0	0
VERB	2	1	1	5	0	0	0	10	0	0	0	2	0	0	268	0
X	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
