gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	253	1	6	0	0	0	0	12	0	0	0	0	0	0	3	0
ADP	0	334	8	0	0	0	0	0	0	0	3	3	0	3	0	0
ADV	2	1	213	0	0	0	2	7	0	2	0	0	0	1	1	0
AUX	1	0	0	81	0	0	0	5	0	0	0	0	0	0	19	0
CCONJ	0	0	3	0	128	0	0	1	0	0	0	1	0	1	0	0
DET	0	0	0	0	2	174	0	0	0	0	4	0	0	0	0	0
INTJ	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
NOUN	3	0	1	1	1	0	0	579	0	0	1	9	0	0	2	0
NUM	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
PART	0	0	0	1	0	0	2	0	0	61	0	0	1	1	1	0
PRON	2	0	3	1	2	2	0	4	0	0	323	9	0	4	1	0
PROPN	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0
PUNCT	0	1	0	0	0	0	0	0	0	0	0	0	380	0	0	0
SCONJ	0	2	2	0	0	0	1	1	0	1	2	0	1	59	0	0
VERB	2	1	1	5	0	0	0	10	0	0	0	2	0	0	308	0
X	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
