gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	278	1	7	0	0	0	0	18	0	0	0	1	0	0	3	0
ADP	0	367	9	0	0	0	0	6	0	0	3	4	0	3	1	0
ADV	2	1	228	0	1	0	2	15	0	2	0	1	0	1	3	0
AUX	1	0	0	93	0	0	1	8	0	0	0	0	0	0	19	0
CCONJ	0	0	4	0	141	0	0	2	0	0	0	0	0	1	0	0
DET	0	0	0	0	2	191	0	3	0	0	4	0	0	0	0	0
INTJ	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
NOUN	3	0	2	1	1	0	0	639	0	0	1	18	0	0	3	0
NUM	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0
PART	0	0	0	1	0	0	2	0	0	68	0	0	1	2	1	0
PRON	3	0	4	1	2	2	0	10	1	0	352	13	1	4	1	0
PROPN	0	0	0	0	0	0	0	0	0	0	0	101	1	0	0	0
PUNCT	0	1	0	0	0	0	0	0	0	0	0	0	419	0	0	0
SCONJ	0	2	2	0	0	0	1	2	0	1	2	0	1	65	0	0
VERB	2	1	1	5	0	0	0	14	0	0	0	1	0	0	343	0
X	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0
