gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	295	1	7	0	0	0	0	18	0	0	0	1	0	0	3	0
ADP	0	378	9	0	0	0	0	6	0	0	3	4	0	3	1	0
ADV	2	2	235	0	1	0	2	16	0	2	0	1	0	1	3	0
AUX	1	0	0	96	0	0	1	8	0	0	0	0	0	0	19	0
CCONJ	0	0	4	0	147	0	0	2	0	0	0	0	0	1	0	0
DET	0	0	0	0	2	202	0	3	0	0	4	0	0	0	0	0
INTJ	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
NOUN	3	0	2	1	1	0	0	659	0	0	1	18	0	0	3	0
NUM	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0
PART	0	0	0	1	0	0	2	0	0	71	0	0	1	2	1	0
PRON	3	0	5	1	2	2	0	10	1	0	376	13	1	4	1	0
PROPN	0	0	0	0	0	0	0	0	0	0	0	101	1	0	0	0
PUNCT	0	1	0	0	0	0	0	0	0	0	0	0	440	0	0	0
SCONJ	0	2	2	1	0	0	1	2	0	1	2	0	1	70	0	0
VERB	2	1	1	5	0	0	0	14	0	0	0	1	0	0	358	0
X	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0
