Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:own:Tense=Pres                             	     29	       10	 yes     	  0.020	 83.333	  34.48	   0.40
node:X:child:Gender=Neut                          	     25	        9	 yes     	  0.013	 75.000	  36.00	   0.43
node:X:child:rel_shallow=mark                     	     58	        7	 no      	 -0.011	 92.727	  87.93	   0.16
node:X:child:rel_shallow=xcomp                    	     13	        5	 yes     	  0.022	 41.667	  38.46	   0.48
node:CLH:own:Tense=Pres                           	     17	        6	 yes     	  0.013	 50.000	  35.29	   0.41
node:X:child:Mood=Ind                             	     13	        4	 yes     	  0.030	 33.333	  30.77	   0.31
node:X:child:upos=ADV                             	     22	        2	 no      	 -0.020	 36.364	  90.91	   0.25
node:X:child:rel_shallow=obl                      	     20	        2	 no      	 -0.025	 32.727	  90.00	   0.22
node:X:child:rel_shallow=punct                    	      6	        3	 yes     	  0.038	 25.000	  50.00	   0.73
node:X:child:rel_shallow=obj                      	     47	       10	 yes     	  0.031	 83.333	  21.28	   0.09
node:X:child:Gender=Com                           	     57	       11	 yes     	  0.014	 91.667	  19.30	   0.04
node:X:child:upos=NUM                             	      1	        1	 yes     	  0.267	  8.333	 100.00	   1.85
node:X:child:Tense=Past                           	      9	        2	 yes     	  0.057	 16.667	  22.22	   0.11
node:X:child:NumType=Card                         	      1	        1	 yes     	  0.506	  8.333	 100.00	   1.85
node:X:child:Number=Sing                          	     61	       12	 yes     	  0.126	 100.000	  19.67	   0.05
node:X:child:rel_shallow=nummod                   	      1	        1	 yes     	  0.182	  8.333	 100.00	   1.85
node:X:child:PronType=Prs                         	     53	        8	 no      	 -0.019	 81.818	  84.91	   0.08
node:X:child:rel_shallow=advcl                    	     13	        2	 no      	  0.039	 20.000	  84.62	   0.07
node:X:own:Voice=Act                              	     66	       11	 no      	 -0.014	 100.000	  83.33	   0.03
node:CLH:own:Degree=Pos                           	      5	        2	 yes     	  0.132	 16.667	  40.00	   0.52
node:X:child:rel_shallow=appos                    	      3	        2	 yes     	  0.047	 16.667	  66.67	   1.07
node:X:child:Definite=Ind                         	     45	       10	 yes     	 -0.109	 83.333	  22.22	   0.11
node:X:child:PronType=Ind                         	      5	        2	 yes     	  0.303	 16.667	  40.00	   0.52
node:CLH:own:VerbForm=Inf                         	     14	        2	 no      	 -0.178	 21.818	  85.71	   0.10
node:X:child:rel_shallow=conj                     	     14	        2	 no      	 -0.442	 21.818	  85.71	   0.10
node:X:child:VerbForm=Inf                         	     20	        3	 no      	 -0.254	 30.909	  85.00	   0.08
node:X:child:upos=PROPN                           	      8	        0	 no      	 -0.311	 14.545	 100.00	   0.63
node:X:child:rel_shallow=nsubj                    	     62	       10	 no      	  0.193	 94.545	  83.87	   0.05
node:X:own:Tense=Past                             	     37	        2	 no      	 -0.714	 63.636	  94.59	   0.37
node:CLH:own:VerbForm=Sup                         	      2	        1	 yes     	  0.145	  8.333	  50.00	   0.73
node:X:child:VerbForm=Fin                         	     14	        4	 yes     	  0.126	 33.333	  28.57	   0.26
node:X:child:Case=Acc                             	     11	        1	 no      	  0.341	 18.182	  90.91	   0.25
