Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:child:upos=SCONJ                           	     88	        3	 no      	 -0.053	 85.859	  96.59	   0.25
node:X:parent:position=before                     	     93	        4	 no      	 -0.038	 89.899	  95.70	   0.21
node:X:child:rel_shallow=punct                    	     22	        6	 yes     	  0.009	 54.545	  27.27	   0.49
node:X:child:rel_shallow=mark                     	     93	        4	 no      	 -0.020	 89.899	  95.70	   0.21
node:X:child:upos=PUNCT                           	     22	        6	 yes     	  0.000	 54.545	  27.27	   0.49
node:X:parent:position=after                      	     17	        7	 yes     	  0.002	 63.636	  41.18	   0.82
node:X:own:Tense=Pres                             	     58	        9	 yes     	  0.017	 81.818	  15.52	   0.17
node:X:child:Definite=Def                         	     80	        6	 no      	 -0.040	 74.747	  92.50	   0.09
node:X:child:upos=ADV                             	     57	        4	 no      	 -0.034	 53.535	  92.98	   0.10
node:X:child:Definite=Ind                         	     64	        4	 no      	 -0.024	 60.606	  93.75	   0.13
node:CLH:own:Number=Sing                          	     18	        2	 yes     	  0.043	 18.182	  11.11	   0.04
node:X:child:rel_shallow=compound:prt             	     17	        0	 no      	 -0.013	 17.172	 100.00	   0.46
node:CLH:own:Tense=Past                           	     32	        2	 no      	 -0.047	 30.303	  93.75	   0.13
node:CLH:own:Tense=Pres                           	     29	        6	 yes     	  0.018	 54.545	  20.69	   0.32
node:X:child:rel_shallow=xcomp                    	     15	        0	 no      	 -0.112	 15.152	 100.00	   0.46
node:X:child:rel_shallow=advcl                    	     14	        0	 no      	 -0.038	 14.141	 100.00	   0.46
node:X:child:upos=PROPN                           	     10	        2	 yes     	  0.115	 18.182	  20.00	   0.30
node:X:child:Gender=Neut                          	     37	        4	 yes     	  0.082	 36.364	  10.81	   0.03
node:X:child:Number=Sing                          	    100	       10	 no      	  0.118	 90.909	  90.00	   0.00
node:X:child:Gender=Com                           	     92	        8	 no      	 -0.034	 84.848	  91.30	   0.04
node:X:child:upos=PRON                            	     83	        8	 no      	  0.011	 75.758	  90.36	   0.01
node:X:child:rel_shallow=obj                      	     49	        4	 no      	 -0.042	 45.455	  91.84	   0.06
node:CLH:own:Gender=Com                           	     11	        1	 no      	  0.026	 10.101	  90.91	   0.03
node:CLH:own:Definite=Ind                         	     19	        2	 yes     	  0.102	 18.182	  10.53	   0.02
node:X:child:upos=ADJ                             	     13	        0	 no      	 -0.184	 13.131	 100.00	   0.46
node:X:child:rel_shallow=nsubj                    	     99	        8	 no      	 -0.107	 91.919	  91.92	   0.07
node:X:child:Number=Plur                          	     22	        2	 no      	  0.080	 20.202	  90.91	   0.03
node:CLH:own:Voice=Act                            	     78	        9	 yes     	  0.097	 81.818	  11.54	   0.05
node:X:own:Voice=Act                              	     99	       11	 yes     	  0.332	 100.000	  11.11	   0.04
node:X:child:Voice=Act                            	     31	        2	 no      	 -0.030	 29.293	  93.55	   0.13
node:X:child:Degree=Pos                           	     22	        1	 no      	  0.475	 21.212	  95.45	   0.20
node:X:child:rel_shallow=ccomp                    	      4	        1	 yes     	  1.085	  9.091	  25.00	   0.43
node:X:child:Case=Acc                             	     15	        0	 no      	 -0.553	 15.152	 100.00	   0.46
node:CLH:own:VerbForm=Sup                         	      5	        0	 no      	 -1.172	  5.051	 100.00	   0.46
node:X:child:upos=NOUN                            	     62	        5	 no      	 -1.236	 57.576	  91.94	   0.07
node:X:child:upos=ADP                             	     20	        1	 no      	 -0.002	 19.192	  95.00	   0.18
node:X:child:rel_shallow=conj                     	     11	        1	 no      	 -0.393	 10.101	  90.91	   0.03
