Pattern                                            	p_occs 	 p_q_occs 	 Decision	   Coef	 coverage	 precision	 cramers_phi
------------------------------------------------------------------------------------------------------------------------
node:X:own:Voice=Act                              	     81	        3	 no      	 -0.045	 85.714	  96.30	   0.15
node:X:child:upos=ADV                             	     33	        5	 yes     	  0.010	 71.429	  15.15	   0.27
node:X:child:rel_shallow=obj                      	     46	        1	 no      	 -0.004	 49.451	  97.83	   0.22
node:X:child:rel_shallow=obl                      	     32	        4	 yes     	  0.050	 57.143	  12.50	   0.19
node:X:child:Case=Acc                             	     10	        2	 yes     	  0.181	 28.571	  20.00	   0.42
node:CLH:own:Definite=Ind                         	     17	        0	 no      	 -0.062	 18.681	 100.00	   0.38
node:X:child:Degree=Pos                           	     17	        0	 no      	 -0.058	 18.681	 100.00	   0.38
node:X:child:rel_shallow=mark                     	     89	        5	 no      	 -0.144	 92.308	  94.38	   0.06
node:X:child:rel_shallow=conj                     	     10	        2	 yes     	  0.094	 28.571	  20.00	   0.42
node:X:child:upos=NOUN                            	     58	        5	 yes     	  0.059	 71.429	   8.62	   0.06
node:X:child:Number=Plur                          	     19	        0	 no      	 -0.111	 20.879	 100.00	   0.38
node:X:child:rel_shallow=advcl                    	     21	        1	 no      	 -0.026	 21.978	  95.24	   0.10
node:CLH:own:Voice=Act                            	     70	        6	 yes     	  0.082	 85.714	   8.57	   0.05
node:X:child:Degree=Sup                           	      1	        1	 yes     	  0.196	 14.286	 100.00	   2.30
node:X:own:Tense=Pres                             	     40	        3	 yes     	 -0.016	 42.857	   7.50	   0.01
node:X:own:Tense=Past                             	     58	        4	 no      	  0.004	 59.341	  93.10	   0.01
node:X:child:rel_shallow=dislocated               	      1	        1	 yes     	  0.048	 14.286	 100.00	   2.30
node:X:child:upos=ADP                             	      9	        0	 no      	 -0.024	  9.890	 100.00	   0.38
node:Y:own:has_child=No                           	     97	        6	 no      	 -0.251	 100.000	  93.81	   0.04
node:Y:child:upos=ADV                             	      1	        1	 yes     	  0.034	 14.286	 100.00	   2.30
node:X:child:upos=PROPN                           	      7	        1	 yes     	  0.286	 14.286	  14.29	   0.25
node:CLH:own:Degree=Pos                           	     10	        0	 no      	 -0.102	 10.989	 100.00	   0.38
node:X:child:Gender=Com                           	     92	        7	 yes     	  0.149	 100.000	   7.61	   0.02
node:Y:child:rel_shallow=advmod                   	      1	        1	 yes     	  0.380	 14.286	 100.00	   2.30
node:X:child:rel_shallow=compound:prt             	      7	        0	 no      	 -0.329	  7.692	 100.00	   0.38
node:X:child:rel_shallow=punct                    	     17	        1	 no      	  0.235	 17.582	  94.12	   0.05
node:X:child:upos=PUNCT                           	     17	        1	 no      	  0.010	 17.582	  94.12	   0.05
node:X:child:Abbr=Yes                             	      1	        1	 yes     	  0.123	 14.286	 100.00	   2.30
node:CLH:own:Mood=Ind                             	     38	        3	 yes     	  0.018	 42.857	   7.89	   0.03
node:X:child:VerbForm=Inf                         	     19	        1	 no      	 -0.117	 19.780	  94.74	   0.08
node:X:parent:position=before                     	     84	        5	 no      	 -0.295	 86.813	  94.05	   0.05
node:X:child:Definite=Def                         	     83	        6	 yes     	  0.335	 85.714	   7.23	   0.00
node:X:child:rel_shallow=expl                     	      2	        1	 yes     	  0.917	 14.286	  50.00	   1.15
node:X:child:PronType=Prs                         	     70	        4	 no      	 -0.492	 72.527	  94.29	   0.06
node:X:child:rel_shallow=nsubj                    	     86	        5	 no      	  0.297	 89.011	  94.19	   0.05
node:X:child:upos=SCONJ                           	     88	        5	 no      	 -0.880	 91.209	  94.32	   0.06
