gold\system	_	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	punct	reparandum	root	vocative	xcomp
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
acl	0	63	8	1	1	2	0	0	0	1	0	8	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	6	0	0	2	0	1
advcl	0	6	31	2	0	2	1	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	1	3	3	0	0	0	0	0	0	0	0	0	0
advmod	0	0	3	208	0	0	0	3	1	0	0	7	0	0	0	0	1	0	0	0	0	0	0	2	3	2	0	4	4	0	0	0	0	1	0	0
amod	0	1	0	6	179	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	2	4	0	0	0	0	2	0	1
appos	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1
aux	0	0	0	0	0	0	60	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0
case	0	0	0	6	0	0	0	321	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	13	2	2	0	2	4	0	0	1	0	0	0	0
cc	1	0	0	3	1	0	0	2	130	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ccomp	0	2	9	1	0	0	1	0	0	12	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
compound	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
conj	1	3	2	0	3	1	0	2	0	1	0	105	0	0	0	0	0	0	0	1	1	0	0	0	2	4	1	4	1	1	3	1	0	2	0	1
cop	0	1	4	1	0	1	0	0	0	0	1	1	23	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	3	0	1
csubj	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dep	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
