gold\system	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	VERB	X
ADJ	273	0	6	0	0	0	1	13	0	0	0	0	0	0	3	0
ADP	0	358	9	0	0	0	0	1	0	0	3	4	0	3	0	0
ADV	2	1	225	0	0	0	2	8	0	2	0	0	0	1	1	0
AUX	1	0	0	91	0	0	0	5	0	0	0	0	0	0	20	0
CCONJ	0	0	3	0	132	0	0	1	0	0	0	1	0	1	0	0
DET	0	0	0	0	2	190	0	0	0	0	4	0	0	0	0	0
INTJ	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
NOUN	3	0	1	1	1	0	0	613	0	0	1	12	0	0	3	0
NUM	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0
PART	0	0	0	1	0	0	2	0	0	68	0	0	1	2	1	0
PRON	3	0	5	1	1	2	1	4	0	0	347	9	0	4	0	0
PROPN	0	0	0	0	0	0	0	1	0	0	0	98	0	0	0	0
PUNCT	0	1	0	0	0	0	0	0	0	0	0	0	402	0	0	0
SCONJ	0	2	2	0	0	0	1	1	0	1	2	0	1	62	0	0
VERB	2	1	1	6	0	0	0	10	0	0	0	1	0	0	335	0
X	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
