gold\system	_	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	dep	det	discourse	expl	fixed	flat	goeswith	iobj	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	punct	root	vocative	xcomp
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
acl	0	0	0	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	8	3	0	0	0	14	0	0
advcl	0	0	0	26	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	2	0	0	0	5	0	0
advmod	0	0	0	185	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	1	0	0	0	1	0	0
amod	0	0	0	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	137	0	4	2	0	0	0	1	0	0
appos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	2	0	0	0	0	0	0
aux	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	6	0	0
case	0	0	0	17	0	0	0	258	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5	0	2	1	0	0	1	0	0	0
cc	0	0	0	69	0	0	0	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ccomp	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	6	0	0
compound	0	0	0	17	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
conj	0	0	0	41	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	32	3	0	0	0	6	0	0
cop	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0
csubj	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0
dep	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
det	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0
discourse	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
expl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
fixed	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
flat	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	2	0	0	0	1	0	0
goeswith	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iobj	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0
mark	0	0	0	103	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
nmod	0	0	0	10	9	0	0	1	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	2	86	0	47	3	0	0	0	0	0	0
nsubj	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	162	0	59	2	0	0	0	3	0	0
nummod	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
obj	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	54	0	76	3	0	0	0	0	0	0
obl	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	0	146	8	0	0	0	1	0	0
orphan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
parataxis	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0
punct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0
root	0	0	0	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	6	0	0	0	38	0	0
vocative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
xcomp	0	0	0	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	15	3	0	0	0	3	0	0
